,Wavelength,a,Jerlov,Averaged1,Averaged2,StdDev1,StdDev2,Avg1,Avg2,Tot_Wavs,Tot_Depths
65,676,0.5336545165945166,h_5C,8,7,0.1791160646972967,0.06356160899466115,0.5975154103535353,0.5336545165945166,26,200.0
66,715,1.0039999999999998,h_5C,7,6,0.17569256786034104,2.026980648162706e-16,1.0757261904761903,1.0039999999999998,24,200.0
67,412,0.82006,i_7C,1,1,,,,,,
68,440,0.6457133333333334,i_7C,1,1,,,,,,
69,488,0.40992666666666666,i_7C,1,1,,,,,,
70,510,0.3545466666666667,i_7C,1,1,,,,,,
71,532,0.31138000000000005,i_7C,1,1,,,,,,
72,555,0.2729533333333333,i_7C,1,1,,,,,,
73,650,0.4147133333333334,i_7C,1,1,,,,,,
74,676,0.5175266666666667,i_7C,1,1,,,,,,
75,715,1.004,i_7C,1,1,,,,,,
